endTime,artistName,trackName,msPlayed,month
2021-03-19T22:35:00Z,Luke Mitrani,Golden Eyes,269666,March 2021
2021-03-19T22:38:00Z,Gordon Snyder,Outta PA,194642,March 2021
2021-03-19T22:44:00Z,Yoste,You Can't Fix Me,346737,March 2021
2021-03-19T22:52:00Z,Mob Rich,Loser,145146,March 2021
2021-03-19T22:52:00Z,Emily Brimlow,Afasawaya,29283,March 2021
2021-03-19T22:59:00Z,Shockley,Close Enough,165890,March 2021
2021-03-20T05:00:00Z,Nathan Nzanga,Seeds,1530,March 2021
2021-03-20T05:00:00Z,Shockley,Close Enough,2560,March 2021
2021-03-20T05:02:00Z,Evan Crommett,Thin Mints,91490,March 2021
2021-03-20T07:19:00Z,Sincerely Collins,Yap Yap,3973,March 2021
2021-03-20T07:19:00Z,Evan Crommett,Thin Mints,162416,March 2021
2021-03-20T07:21:00Z,ELLIS!,I'm Good (feat. Sammy Adams),13120,March 2021
2021-03-20T07:21:00Z,Andrey Azizov,You Forever,89080,March 2021
2021-03-20T07:21:00Z,Bastille,survivin',2600,March 2021
2021-03-20T07:21:00Z,Corey Harper,entertainment,3810,March 2021
2021-03-20T07:24:00Z,The Unlikely Candidates,High Low,167790,March 2021
2021-03-20T08:18:00Z,Deep Sleep Sounds,Introducing Deep Sleep Sounds,6620,March 2021
2021-03-20T08:18:00Z,The Unlikely Candidates,High Low,3300,March 2021
2021-03-20T08:19:00Z,Deep Sleep Sounds,Sleep Vibes,57460,March 2021
2021-03-20T08:23:00Z,Barbara Devereaux,The Light,191111,March 2021
2021-03-20T08:27:00Z,Gabe Witcher,Rainy South,278073,March 2021
2021-03-20T08:31:00Z,Elias Adelsson,Staged Sun,192052,March 2021
2021-03-20T08:33:00Z,Karl Kristiansen,St. Roma,120058,March 2021
2021-03-20T08:36:00Z,Karl Kristiansen,Sundays,189570,March 2021
2021-03-20T08:37:00Z,Kouyou,Belonging,103575,March 2021
2021-03-20T08:40:00Z,Karl Kristiansen,New at the Night,151275,March 2021
2021-03-20T08:45:00Z,Evie Foxx,Gone Mowgli,277524,March 2021
2021-03-20T08:47:00Z,Evie Foxx,Little Winter,136698,March 2021
2021-03-20T08:48:00Z,Karl Kristiansen,In Darkness,74501,March 2021
2021-03-20T08:51:00Z,Barbara Devereaux,Unwavering Friendship,163866,March 2021
2021-03-20T08:55:00Z,Gabe Witcher,Untitled,220473,March 2021
2021-03-20T08:58:00Z,Tuva Olsen,Kyoto Station,192052,March 2021
2021-03-20T09:01:00Z,Iaris,Railed Rain,177293,March 2021
2021-03-20T09:04:00Z,Tuva Olsen,Long Affinity,170579,March 2021
2021-03-20T09:08:00Z,Iaris,Patch of Warmth,272065,March 2021
2021-03-20T09:11:00Z,Elias Adelsson,Indefinite Instructions,176065,March 2021
2021-03-20T09:16:00Z,Elias Adelsson,Those Are Gone Again,299415,March 2021
2021-03-20T09:19:00Z,Karl Kristiansen,Paradise for Now,146311,March 2021
2021-03-20T09:23:00Z,Tuva Olsen,Refuge,247902,March 2021
2021-03-20T09:26:00Z,Kouyou,Helpless Hymn,172773,March 2021
2021-03-20T09:28:00Z,Kouyou,Pine Trees,119275,March 2021
2021-03-20T09:31:00Z,Evie Foxx,April,224052,March 2021
2021-03-20T09:33:00Z,Iaris,Sun,124891,March 2021
2021-03-20T09:36:00Z,Kouyou,Tumbler,144404,March 2021
2021-03-20T09:39:00Z,Gabe Witcher,Statue,192052,March 2021
2021-03-20T09:51:00Z,Barbara Devereaux,Voyager,689580,March 2021
2021-03-20T09:59:00Z,Kouyou,Misty Mornings,502595,March 2021
2021-03-20T10:02:00Z,Evie Foxx,Favourite Watch,181498,March 2021
2021-03-20T10:04:00Z,Elias Adelsson,Summer Light,144065,March 2021
2021-03-20T10:08:00Z,Elias Adelsson,Haru,231862,March 2021
2021-03-20T10:12:00Z,Iaris,The Valley,200777,March 2021
2021-03-20T10:14:00Z,Kouyou,Watch the World Rotate,147696,March 2021
2021-03-20T10:18:00Z,Kouyou,Isolation for Early Mornings,256052,March 2021
2021-03-20T10:21:00Z,Evie Foxx,Zimbabwe,156447,March 2021
2021-03-20T10:24:00Z,Evie Foxx,Warm Eludes Us,202004,March 2021
2021-03-20T10:30:00Z,Barbara Devereaux,High Tide,320052,March 2021
2021-03-20T10:32:00Z,Gabe Witcher,The Riders,132545,March 2021
2021-03-20T10:33:00Z,Kouyou,Sandy,91376,March 2021
2021-03-20T10:39:00Z,Evie Foxx,Islanders,316865,March 2021
2021-03-20T10:41:00Z,Karl Kristiansen,Long Distance,160809,March 2021
2021-03-20T10:45:00Z,Barbara Devereaux,Before We Leave,234684,March 2021
2021-03-20T10:50:00Z,Iaris,Blurred by the Fog,256052,March 2021
2021-03-20T10:54:00Z,Karl Kristiansen,Breathing Slowly,256052,March 2021
2021-03-20T10:59:00Z,Barbara Devereaux,Rainy Drive,289567,March 2021
2021-03-20T11:02:00Z,Evie Foxx,Tokyo,192052,March 2021
2021-03-20T11:04:00Z,Iaris,Moon Kingdoms,156368,March 2021
2021-03-20T11:12:00Z,Gabe Witcher,Drift Far Beyond,454713,March 2021
2021-03-20T11:17:00Z,Iaris,Condescending,319869,March 2021
2021-03-20T11:19:00Z,Iaris,Kaluah,85315,March 2021
2021-03-20T11:21:00Z,Gabe Witcher,Thousandth Time,141949,March 2021
2021-03-20T11:28:00Z,Iaris,You,421825,March 2021
2021-03-20T11:29:00Z,Kouyou,Radio,19342,March 2021
2021-03-20T15:56:00Z,Kouyou,Radio,173623,March 2021
2021-03-20T15:59:00Z,Elias Adelsson,Forgotten Sunsets,160052,March 2021
